date,year,season,RONI
2017-08,2017,JAS,-0.5
2017-09,2017,ASO,-0.7
2017-10,2017,SON,-1.0
2017-11,2017,OND,-1.1
2017-12,2017,NDJ,-1.3
2018-01,2018,DJF,-1.1
2018-02,2018,JFM,-1.0
2018-03,2018,FMA,-0.9
2018-04,2018,MAM,-0.7
2018-05,2018,AMJ,-0.3
2018-06,2018,MJJ,0.0
2018-07,2018,JJA,0.1
2018-08,2018,JAS,0.2
2018-09,2018,ASO,0.4
2018-10,2018,SON,0.7
2018-11,2018,OND,0.8
2018-12,2018,NDJ,0.7
2019-01,2019,DJF,0.6
2019-02,2019,JFM,0.6
2019-03,2019,FMA,0.6
2019-04,2019,MAM,0.5
2019-05,2019,AMJ,0.3
2019-06,2019,MJJ,0.2
2019-07,2019,JJA,0.0
2019-08,2019,JAS,-0.1
2019-09,2019,ASO,0.0
2019-10,2019,SON,0.1
2019-11,2019,OND,0.2
2019-12,2019,NDJ,0.2
